240.06,12.045,0.0013149
237.35,12.178,0.00065833
233.64,11.794,0
230.56,10.794,0
224.04,9.0158,0.0013132
226.4,9.1016,0.0017921
207.32,7.6165,0.0061856
194.91,6.8812,0.0061813
183.16,6.414,0.0037244
177.87,5.5004,0.0064516
172.08,5.0674,0.0021521
167.39,4.9785,0.0023895
159.87,4.481,0.0064516
155.44,4.2746,0.0043011
152.45,4.2485,0.0029869
153,4.3255,0.0038071
147.56,4.2682,0.01078
153.71,4.7838,0.0095579
179.93,6.267,0.015219
205.68,7.7174,0.013308
223.45,9.1529,0.0071685
234.57,10.558,0.0031706
238.74,11.632,0.0019011
240.96,12.654,0.00059737
245.48,13.148,0.0025349
242.87,13.44,0.00063371
237.97,13.219,0.00059737
236.55,12.311,0.0019011
233.23,10.637,0.0012698
226.49,10.797,0.0031114
214.32,9.319,0.00071531
205.95,8.3293,0.0035791
199.84,7.5178,0.0025856
189.36,6.64,0.0022455
182.81,5.8452,0.0037397
176.27,5.5383,0.00062228
170.88,4.979,0.002994
166.03,4.6495,0.0022422
156.95,4.4131,0.0012461
152.87,4.3157,0.0039709
150,4.4264,0.0079208
173,5.7049,0.00934
200.58,7.0125,0.013201
223.67,8.5459,0.0092409
234.64,10.197,0.0049813
240.8,11.667,0.001321
239.56,12.776,0.0039604
243.88,13.854,0.00062267
241.67,14.525,0.0013201
242.84,14.729,0.0013201
238.64,14.583,0.0012453
236.11,13.897,0.00066007
232.03,12.719,0.0006605
225.51,11.861,0.00060901
217.53,9.9957,0.0028694
207.54,8.7736,0.002149
200.89,7.8961,0.0018999
191.48,6.7949,0.00075131
186.97,6.0729,0.00075131
180.57,5.7087,0
174.45,5.0511,0.0022556
172.09,4.6275,0.0037622
163.24,4.4857,0.0012188
157.29,4.1554,0.001943
161.1,4.4676,0.0084197
178.98,5.6762,0.0060976
203.43,6.9211,0.011635
223.92,8.6001,0.005168
234.75,10.322,0.0048691
235.77,11.682,0
240.82,12.924,0.001292
243.64,14.005,0.0018259
240.17,14.665,0.0012937
236.34,14.975,0
236.92,14.882,0.00060864
235.07,14.418,0
231.16,13.404,0.00064641
