525.62,410.35,105.93,9.3502,386.95,269.16,117.78,434.43,12.174,2.6494,0,0.55831
543.69,423.61,110.34,9.7336,402.83,280.13,122.69,435.07,12.852,2.6537,0,0.56079
513.63,398.88,105.61,9.1523,378.75,261.32,117.43,426.21,13.281,2.6076,0,0.56576
485.5,388.83,88.311,8.3619,346.04,247.84,98.198,465.89,13.42,2.6276,0,0.50868
384.64,312.8,65.561,6.2771,259.77,186.87,72.901,462.47,13.106,2.5694,0,0.47891
243.34,201.98,37.871,3.4899,144.42,102.31,42.11,427.61,12.419,2.3485,0,0.43176
66.542,56.382,9.5589,0.60065,24.869,14.24,10.629,240.12,11.375,2.1454,0.11414,0.20596
0,0,0,0,0,0,0,0,10.578,2.0537,1,0
0,0,0,0,0,0,0,0,9.905,2.0046,1,0
0,0,0,0,0,0,0,0,9.4263,1.9705,1,0
0,0,0,0,0,0,0,0,9.1126,1.9801,1,0
0,0,0,0,0,0,0,0,8.798,2.039,1,0
0,0,0,0,0,0,0,0,8.97,1.5061,1,0
0,0,0,0,0,0,0,0,8.5752,1.4744,1,0
0,0,0,0,0,0,0,0,8.172,1.4868,1,0
0,0,0,0,0,0,0,0,7.8161,1.4916,1,0
0,0,0,0,0,0,0,0,7.4558,1.561,1,0
0,0,0,0,0,0,0,0,7.1863,1.6177,1,0
0,0,0,0,0,0,0,0,6.8252,1.6936,1,0
9.2188,4.2437,4.74,0.23533,9.7367,4.4662,5.2706,58.297,6.948,1.6785,0.73333,0.25385
163.79,127.01,33.636,3.1435,130.1,92.697,37.402,405.02,8.0455,1.696,0,0.46154
340.98,266.96,67.357,6.6646,275.81,200.91,74.898,488.4,9.7529,1.8549,0,0.46154
507,399.56,97.45,9.9831,413.13,304.77,108.36,537.53,11.514,1.9484,0,0.44872
639.5,487.66,139.04,12.801,529.78,375.17,154.61,547.83,12.948,2.0965,0,0.45897
709.26,529.96,164.94,14.358,594.2,410.79,183.41,542.59,14.06,2.2541,0,0.47436
745,580.07,150.02,14.911,617.06,450.24,166.82,582.4,14.804,2.3969,0,0.4359
690.81,534.39,142.57,13.851,573.2,414.66,158.53,564.08,15.159,2.5851,0,0.44872
612.5,485.2,115.18,12.121,501.62,373.55,128.07,581.46,15.125,2.732,0,0.41538
484.49,394.47,80.596,9.4265,390.11,300.49,89.62,593.55,14.652,2.7369,0,0.37179
286.61,225.6,55.472,5.5372,229.16,167.47,61.682,501.89,13.978,2.6102,0,0.41026
132.86,107.88,22.571,2.4121,99.816,74.718,25.098,533.65,12.889,2.2365,0,0.10513
0,0,0,0,0,0,0,0,11.747,2.0034,1,0
0,0,0,0,0,0,0,0,10.926,1.8529,1,0
0,0,0,0,0,0,0,0,10.286,1.6895,1,0
0,0,0,0,0,0,0,0,9.7931,1.6273,1,0
0,0,0,0,0,0,0,0,9.3792,1.5232,1,0
0,0,0,0,0,0,0,0,9.8333,1.3518,1,0
0,0,0,0,0,0,0,0,9.4404,1.2879,1,0
0,0,0,0,0,0,0,0,9.0566,1.2823,1,0
0,0,0,0,0,0,0,0,8.6816,1.2595,1,0
0,0,0,0,0,0,0,0,8.3159,1.309,1,0
0,0,0,0,0,0,0,0,8.0111,1.355,1,0
0.54313,0,0.52921,0.014069,0.58824,0,0.58824,0,7.7536,1.3644,1,0.099256
62.671,33.182,27.269,2.2197,91.86,61.538,30.322,352.56,8.5658,1.3654,0,0.47643
230.39,161.33,63.155,5.8996,244.15,173.93,70.225,468.82,9.9673,1.507,0,0.47395
411.24,294.7,106.78,9.7567,403.78,285.04,118.73,515.77,11.771,1.6539,0,0.47395
575.97,418.81,143.91,13.26,548.74,388.72,160.02,551.3,13.428,1.7932,0,0.46402
702.07,497.42,188.66,15.985,661.54,451.75,209.79,555.12,14.823,2.0243,0,0.47643
811.12,592.03,200.83,18.263,755.82,532.51,223.31,609.45,15.813,2.2929,0,0.43176
828.97,620.6,189.82,18.551,767.74,556.67,211.07,632.66,16.425,2.5494,0,0.40943
763.01,567.78,178.05,17.175,710.79,512.81,197.99,615.03,16.611,2.7891,0,0.41935
670.96,507.12,148.59,15.245,630.89,465.66,165.23,631.88,16.429,3.0673,0,0.3871
512.73,399.39,101.44,11.902,492.56,379.77,112.79,636.77,15.905,3.1126,0,0.35484
311.58,232.67,71.18,7.7243,319.66,240.51,79.149,569.31,15.194,3.0571,0,0.37717
136,97.166,34.703,4.1304,170.94,132.35,38.588,593.94,14.232,2.7988,0,0.19851
5.5231,0,5.2363,0.28655,11.865,6.0426,5.8226,114.12,12.933,2.2483,0.66501,0
0,0,0,0,0,0,0,0,11.967,1.9998,1,0
0,0,0,0,0,0,0,0,11.265,1.7562,1,0
0,0,0,0,0,0,0,0,10.746,1.6022,1,0
0,0,0,0,0,0,0,0,10.305,1.4862,1,0
0,0,0,0,0,0,0,0,11.38,1.6925,1,0
0,0,0,0,0,0,0,0,10.944,1.5463,1,0
0,0,0,0,0,0,0,0,10.461,1.4837,1,0
0,0,0,0,0,0,0,0,10.014,1.3867,1,0
0,0,0,0,0,0,0,0,9.5987,1.3497,1,0
0,0,0,0,0,0,0,0,9.1537,1.3545,1,0
12.544,0,11.855,0.68846,28.485,15.303,13.183,200.96,9.2949,1.2928,0.2641,0.38718
93.393,47.471,41.486,4.436,183.58,137.45,46.131,519.43,10.398,1.3453,0,0.36154
283.9,197.82,77.433,8.6552,358.18,272.08,86.101,595.07,12.034,1.5786,0,0.37436
489.82,355.29,121.41,13.119,542.92,407.91,135,645.38,13.878,1.8101,0,0.36667
673.06,510.15,145.9,17.005,703.72,541.49,162.24,697.45,15.629,2.0711,0,0.34103
814.48,592.36,202.06,20.056,830.01,605.33,224.68,687.09,17.102,2.4485,0,0.36923
907.74,669.61,216.06,22.073,913.47,673.22,240.25,717.18,18.061,2.7762,0,0.35128
933.72,704.27,206.81,22.637,936.81,706.85,229.97,747.81,18.706,3.1422,0,0.32308
877.38,653.03,202.86,21.49,889.37,663.79,225.57,737.36,19.009,3.4137,0,0.32564
748.98,564.09,166.11,18.777,777.09,592.38,184.71,733.68,18.796,3.615,0,0.31026
574.2,445.5,113.59,15.116,625.57,499.26,126.31,742.7,18.264,3.7546,0,0.27436
354.42,256.88,87.168,10.37,429.15,332.22,96.927,658.8,17.542,3.777,0,0.31795
150.77,95.679,49.028,6.0626,250.9,196.38,54.517,623.76,16.54,3.6293,0,0.26667
23.316,0,21.136,2.1806,90.233,66.731,23.502,554.84,15.164,3.1899,0,0
0,0,0,0,0,0,0,0,13.884,2.7001,1,0
0,0,0,0,0,0,0,0,13.014,2.405,1,0
0,0,0,0,0,0,0,0,12.365,2.1204,1,0
0,0,0,0,0,0,0,0,11.89,1.9168,1,0
0,0,0,0,0,0,0,0,13.029,1.7441,1,0
0,0,0,0,0,0,0,0,12.642,1.5682,1,0
0,0,0,0,0,0,0,0,12.257,1.4288,1,0
0,0,0,0,0,0,0,0,11.849,1.299,1,0
0,0,0,0,0,0,0,0,11.463,1.2046,1,0
0,0,0,0,0,0,0,0,10.914,1.1716,1,0
15.848,0,14.872,0.97676,40.42,23.883,16.536,290.58,10.939,1.1271,0,0.38442
73.79,24.504,44.638,4.6486,192.37,142.73,49.636,522.9,11.92,1.2929,0,0.36935
265.45,180.44,75.851,9.1616,379.15,294.81,84.343,638.25,13.599,1.5545,0,0.33417
467.62,339.7,114.41,13.521,559.56,432.34,127.21,680.52,15.422,1.8673,0,0.33668
655.02,484.81,152.68,17.528,725.4,555.63,169.77,710.71,17.026,2.1938,0,0.33417
810.41,608.97,180.57,20.869,863.66,662.87,200.79,744.09,18.452,2.4873,0,0.32161
911.35,674.56,213.72,23.067,954.59,716.94,237.65,750.69,19.524,2.835,0,0.32915
957.24,731.97,201.16,24.111,997.82,774.13,223.68,797.91,20.275,3.1303,0,0.28643
911.98,695.81,192.98,23.183,959.41,744.82,214.59,796.48,20.699,3.3958,0,0.28141
799.37,615.61,162.92,20.838,862.39,681.23,181.16,799.13,20.53,3.5984,0,0.26131
624.88,482.19,125.52,17.168,710.49,570.91,139.58,784.35,20.029,3.7327,0,0.25126
420.38,315.85,91.649,12.886,533.28,431.37,101.91,757.23,19.302,3.8481,0,0.24121
201.95,142.13,51.454,8.3725,346.49,289.28,57.214,744.68,18.321,3.7468,0,0.1809
34.309,0,30.323,3.9867,164.99,131.28,33.717,671.17,17.093,3.4809,0,0.067839
2.7646,0,2.6923,0.072186,2.9937,0,2.9937,0,15.723,3.0392,1,0.032663
0,0,0,0,0,0,0,0,14.759,2.7395,1,0
0,0,0,0,0,0,0,0,14.051,2.3371,1,0
0,0,0,0,0,0,0,0,13.522,2.0526,1,0
